f: 0		N	s	pc	pm	MaxG					pc	0.0625	0.125	0.1875	0.25	0.3125	0.375	0.4375	0.5	0.5625	0.625	0.6875	0.75	0.8125	0.875	0.9375	
Get 800	22	900	2	0.25	0.56	25	933	97503			0.72	97447	93642	84636	87378	86883	105563	100960	97276	90030	97527	86889	96313	90082	94855	99856	
Get 800	23	900	2	0.25	0.6	25	921	89625			0.76	96034	94441	88440	94751	86913	100748	92752	89703	81324	87651	84876	93519	94633	84090	98297	
Get 800	19	900	2	0.25	0.64	25	928	91648			0.8	82440	86117	93392	94828	91311	97555	92958	80828	88356	82154	98226	89610	88997	99337	90575	
Get 800	25	900	2	0.25	0.68	25	894	95924			0.84	99105	99428	89604	100052	94314	87250	98155	97921	79440	85784	92041	89784	87865	89988	89320	
Not get 800	26	900	2	0.25	0.72	25	794	87378			0.88	86838	88264	90355	101477	95564	98134	98792	93416	86457	94187	89121	92591	90345	87222	95374	
Get 800	22	900	2	0.25	0.76	25	887	94751			0.92	84818	91596	96456	93763	96602	91619	93204	93558	98353	93785	89229	87834	82536	84023	93032	
Not get 800	26	900	2	0.25	0.8	25	852	94828			0.96	82384	87255	85704	98736	93073	90019	95683	86913	88903	85256	86422	86349	94041	88409	93207	
Get 800	18	900	2	0.25	0.84	25	933	100052																			
Get 800	22	900	2	0.25	0.88	25	935	101477																			
Not get 800	26	900	2	0.25	0.92	25	842	93763																			
Get 800	19	900	2	0.25	0.96	25	949	98736																			
Get 800	20	900	2	0.3125	0.04	25	913	98515																			
Get 800	20	900	2	0.3125	0.08	25	923	98785																			
Get 800	24	900	2	0.3125	0.12	25	888	93386																			
Get 800	23	900	2	0.3125	0.16	25	903	94770																			
Not get 800	26	900	2	0.3125	0.2	25	794	80302																			
Get 800	21	900	2	0.3125	0.24	25	977	93719																			
Get 800	19	900	2	0.3125	0.28	25	943	99800																			
Get 800	17	900	2	0.3125	0.32	25	974	102931																			
Get 800	21	900	2	0.3125	0.36	25	1023	91148																			
Not get 800	26	900	2	0.3125	0.4	25	849	89218																			
Get 800	17	900	2	0.3125	0.44	25	976	101798																			
Get 800	18	900	2	0.3125	0.48	25	1001	96200																			
Get 800	16	900	2	0.3125	0.52	25	1010	99047																			
Get 800	23	900	2	0.3125	0.56	25	914	97652																			
Not get 800	26	900	2	0.3125	0.6	25	871	88463																			
Not get 800	26	900	2	0.3125	0.64	25	810	80717																			
Get 800	24	900	2	0.3125	0.68	25	926	88648																			
Get 800	22	900	2	0.3125	0.72	25	911	86883																			
Not get 800	26	900	2	0.3125	0.76	25	786	86913																			
Not get 800	26	900	2	0.3125	0.8	25	830	91311																			
Get 800	21	900	2	0.3125	0.84	25	924	94314																			
Get 800	24	900	2	0.3125	0.88	25	869	95564																			
Not get 800	26	900	2	0.3125	0.92	25	797	96602																			
Not get 800	26	900	2	0.3125	0.96	25	812	93073																			
Get 800	23	900	2	0.375	0.04	25	880	96945																			
Get 800	16	900	2	0.375	0.08	25	1000	106755																			
Get 800	21	900	2	0.375	0.12	25	921	100651																			
Get 800	18	900	2	0.375	0.16	25	948	100527																			
Get 800	17	900	2	0.375	0.2	25	1027	103982																			
Not get 800	26	900	2	0.375	0.24	25	802	87631																			
Get 800	15	900	2	0.375	0.28	25	1094	103107																			
Get 800	18	900	2	0.375	0.32	25	975	100058																			
Not get 800	26	900	2	0.375	0.36	25	819	90529																			
Get 800	18	900	2	0.375	0.4	25	961	92434																			
Get 800	18	900	2	0.375	0.44	25	1005	104010																			
Get 800	17	900	2	0.375	0.48	25	991	103980																			
Get 800	18	900	2	0.375	0.52	25	1014	98934																			
Not get 800	26	900	2	0.375	0.56	25	880	93140																			
Not get 800	26	900	2	0.375	0.6	25	841	89114																			
Get 800	23	900	2	0.375	0.64	25	853	90573																			
Get 800	24	900	2	0.375	0.68	25	916	88460																			
Get 800	18	900	2	0.375	0.72	25	1017	105563																			
Get 800	17	900	2	0.375	0.76	25	942	100748																			
Get 800	23	900	2	0.375	0.8	25	879	97555																			
Not get 800	26	900	2	0.375	0.84	25	709	87250																			
Get 800	18	900	2	0.375	0.88	25	986	98134																			
Get 800	18	900	2	0.375	0.92	25	856	91619																			
Not get 800	26	900	2	0.375	0.96	25	852	90019																			
Get 800	19	900	2	0.4375	0.04	25	970	93582																			
Get 800	14	900	2	0.4375	0.08	25	1024	105600																			
Get 800	16	900	2	0.4375	0.12	25	995	105108																			
Get 800	18	900	2	0.4375	0.16	25	1036	109743																			
Not get 800	26	900	2	0.4375	0.2	25	869	92388																			
Get 800	14	900	2	0.4375	0.24	25	1127	112126																			
Get 800	19	900	2	0.4375	0.28	25	1003	113635																			
Get 800	22	900	2	0.4375	0.32	25	931	95047																			
Get 800	20	900	2	0.4375	0.36	25	995	94269																			
Get 800	22	900	2	0.4375	0.4	25	957	89428																			
Get 800	17	900	2	0.4375	0.44	25	1022	101696																			
Not get 800	26	900	2	0.4375	0.48	25	835	90809																			
Not get 800	26	900	2	0.4375	0.52	25	863	88207																			
Get 800	16	900	2	0.4375	0.56	25	1058	97458																			
Get 800	15	900	2	0.4375	0.6	25	1072	104290																			
Get 800	23	900	2	0.4375	0.64	25	871	93796																			
Not get 800	26	900	2	0.4375	0.68	25	851	84286																			
Not get 800	26	900	2	0.4375	0.72	25	818	100960																			
Not get 800	26	900	2	0.4375	0.76	25	811	92752																			
Not get 800	26	900	2	0.4375	0.8	25	839	92958																			
Not get 800	26	900	2	0.4375	0.84	25	845	98155																			
Not get 800	26	900	2	0.4375	0.88	25	842	98792																			
Not get 800	26	900	2	0.4375	0.92	25	837	93204																			
Not get 800	26	900	2	0.4375	0.96	25	790	95683																			
Get 800	14	900	2	0.5	0.04	25	1018	103751																			
Not get 800	26	900	2	0.5	0.08	25	845	91433																			
Get 800	18	900	2	0.5	0.12	25	988	101717																			
Get 800	19	900	2	0.5	0.16	25	911	94793																			
Get 800	22	900	2	0.5	0.2	25	908	90845																			
Get 800	22	900	2	0.5	0.24	25	906	97172																			
Not get 800	26	900	2	0.5	0.28	25	768	88560																			
Get 800	19	900	2	0.5	0.32	25	989	95032																			
Not get 800	26	900	2	0.5	0.36	25	774	90223																			
Get 800	20	900	2	0.5	0.4	25	921	87133																			
Get 800	20	900	2	0.5	0.44	25	953	91258																			
Get 800	22	900	2	0.5	0.48	25	945	90945																			
Get 800	19	900	2	0.5	0.52	25	1029	91145																			
Get 800	17	900	2	0.5	0.56	25	1016	94892																			
Get 800	22	900	2	0.5	0.6	25	968	98879																			
Get 800	21	900	2	0.5	0.64	25	913	95133																			
Get 800	18	900	2	0.5	0.68	25	979	95283																			
Get 800	20	900	2	0.5	0.72	25	986	97276																			
Get 800	22	900	2	0.5	0.76	25	858	89703																			
Not get 800	26	900	2	0.5	0.8	25	777	80828																			
Get 800	23	900	2	0.5	0.84	25	873	97921																			
Get 800	23	900	2	0.5	0.88	25	900	93416																			
